endpoint_id;mode_start;mode_duration;label
499;2020-07-09 13:52:00+03;31;Отключено
499;2020-07-09 14:23:00+03;30;Холостой ход
499;2020-07-09 14:53:00+03;29;Отключено
499;2020-07-09 15:22:00+03;14;Холостой ход
499;2020-07-09 15:36:00+03;40;Отключено
499;2020-07-09 16:16:00+03;54;Холостой ход
499;2020-07-09 17:10:00+03;32;Работает
499;2020-07-09 17:42:00+03;5;Холостой ход
499;2020-07-09 17:47:00+03;4;Работает
499;2020-07-09 17:51:00+03;15;Холостой ход
499;2020-07-09 18:06:00+03;91;Работает
499;2020-07-09 20:09:00+03;2;Работает
499;2020-07-09 20:11:00+03;37;Холостой ход
499;2020-07-09 20:48:00+03;146;Работает
499;2020-07-09 23:14:00+03;29;Отключено
499;2020-07-09 23:43:00+03;3;Холостой ход
499;2020-07-10 03:48:00+03;22;Холостой ход
499;2020-07-10 04:10:00+03;17;Отключено
499;2020-07-10 04:27:00+03;1;Холостой ход
499;2020-07-10 04:28:00+03;190;Работает
499;2020-07-10 08:19:00+03;31;Работает
499;2020-07-10 08:50:00+03;80;Нет данных
499;2020-07-10 10:10:00+03;16;Холостой ход
499;2020-07-10 10:26:00+03;25;Отключено
499;2020-07-10 10:51:00+03;119;Холостой ход
499;2020-07-10 12:50:00+03;6;Отключено
499;2020-07-10 12:56:00+03;3;Холостой ход
499;2020-07-10 12:59:00+03;36;Отключено
499;2020-07-10 13:35:00+03;9;Холостой ход
499;2020-07-10 13:44:00+03;25;Отключено
499;2020-07-10 14:09:00+03;3;Холостой ход
499;2020-07-10 14:12:00+03;3;Отключено
499;2020-07-10 14:15:00+03;185;Нет данных
499;2020-07-10 17:20:00+03;13;Холостой ход
499;2020-07-10 17:33:00+03;40;Работает
499;2020-07-10 18:13:00+03;32;Холостой ход
499;2020-07-10 18:45:00+03;54;Работает
499;2020-07-10 20:09:00+03;8;Работает
499;2020-07-10 20:17:00+03;16;Холостой ход
499;2020-07-10 20:33:00+03;37;Работает
499;2020-07-10 21:10:00+03;10;Холостой ход
499;2020-07-10 21:20:00+03;10;Работает
499;2020-07-10 21:30:00+03;14;Нет данных
499;2020-07-10 21:44:00+03;21;Работает
499;2020-07-10 22:05:00+03;12;Холостой ход
499;2020-07-10 22:17:00+03;6;Работает
499;2020-07-10 22:23:00+03;6;Холостой ход
499;2020-07-10 22:29:00+03;16;Работает
499;2020-07-10 22:45:00+03;69;Холостой ход
499;2020-07-11 00:47:00+03;10;Холостой ход
499;2020-07-11 00:57:00+03;37;Работает
499;2020-07-11 01:34:00+03;17;Холостой ход
499;2020-07-11 01:51:00+03;32;Работает
499;2020-07-11 02:23:00+03;16;Холостой ход
499;2020-07-11 02:39:00+03;83;Работает
499;2020-07-11 04:02:00+03;28;Холостой ход
499;2020-07-11 04:30:00+03;8;Работает
499;2020-07-11 04:38:00+03;5;Холостой ход
499;2020-07-11 04:43:00+03;46;Работает
499;2020-07-11 05:29:00+03;11;Холостой ход
499;2020-07-11 05:40:00+03;50;Работает
499;2020-07-11 06:30:00+03;9;Холостой ход
499;2020-07-11 06:39:00+03;56;Работает
499;2020-07-11 08:02:00+03;12;Работает
499;2020-07-11 08:14:00+03;37;Холостой ход
499;2020-07-11 08:51:00+03;27;Работает
499;2020-07-11 09:18:00+03;18;Холостой ход
499;2020-07-11 09:36:00+03;75;Работает
499;2020-07-11 10:51:00+03;6;Холостой ход
499;2020-07-11 10:57:00+03;34;Работает
499;2020-07-11 11:31:00+03;9;Холостой ход
499;2020-07-11 11:40:00+03;7;Нет данных
499;2020-07-11 11:47:00+03;13;Холостой ход
499;2020-07-11 12:00:00+03;105;Работает
499;2020-07-11 13:45:00+03;5;Холостой ход
499;2020-07-11 13:50:00+03;20;Работает
499;2020-07-11 14:10:00+03;8;Холостой ход
499;2020-07-11 14:18:00+03;1;Работает
499;2020-07-11 14:19:00+03;14;Холостой ход
499;2020-07-11 14:33:00+03;19;Работает
499;2020-07-11 14:52:00+03;5;Холостой ход
499;2020-07-11 14:57:00+03;65;Работает
499;2020-07-11 16:02:00+03;33;Холостой ход
499;2020-07-11 16:35:00+03;181;Работает
499;2020-07-11 20:02:00+03;12;Работает
499;2020-07-11 20:14:00+03;7;Холостой ход
499;2020-07-11 20:21:00+03;186;Работает
499;2020-07-11 23:27:00+03;33;Холостой ход
499;2020-07-12 00:00:00+03;242;Работает
499;2020-07-12 04:02:00+03;28;Холостой ход
499;2020-07-12 04:30:00+03;190;Работает
499;2020-07-12 08:02:00+03;192;Работает
499;2020-07-12 11:14:00+03;25;Отключено
499;2020-07-12 11:39:00+03;6;Холостой ход
499;2020-07-12 11:45:00+03;27;Работает
499;2020-07-12 12:12:00+03;7;Холостой ход
499;2020-07-12 12:19:00+03;69;Работает
499;2020-07-12 13:28:00+03;10;Холостой ход
499;2020-07-12 13:38:00+03;139;Работает
499;2020-07-12 15:57:00+03;32;Отключено
499;2020-07-12 16:29:00+03;190;Работает
499;2020-07-12 20:04:00+03;199;Работает
499;2020-07-12 23:23:00+03;34;Холостой ход
499;2020-07-13 02:01:00+03;7;Холостой ход
499;2020-07-13 02:08:00+03;4;Работает
499;2020-07-13 02:12:00+03;8;Холостой ход
499;2020-07-13 02:20:00+03;102;Работает
499;2020-07-13 04:02:00+03;29;Холостой ход
499;2020-07-13 04:31:00+03;187;Работает
499;2020-07-13 08:05:00+03;200;Работает
499;2020-07-13 11:25:00+03;31;Отключено
499;2020-07-13 11:56:00+03;2;Холостой ход
499;2020-07-13 11:58:00+03;178;Работает
499;2020-07-13 14:56:00+03;5;Холостой ход
499;2020-07-13 15:01:00+03;55;Работает
499;2020-07-13 15:56:00+03;36;Холостой ход
499;2020-07-13 16:32:00+03;5;Работает
499;2020-07-13 16:37:00+03;156;Холостой ход
499;2020-07-13 20:23:00+03;23;Холостой ход
499;2020-07-13 20:46:00+03;52;Работает
499;2020-07-13 21:38:00+03;22;Холостой ход
499;2020-07-13 22:00:00+03;74;Работает
499;2020-07-13 23:14:00+03;32;Отключено
499;2020-07-14 00:27:00+03;11;Холостой ход
499;2020-07-14 00:38:00+03;8;Работает
499;2020-07-14 00:46:00+03;6;Холостой ход
499;2020-07-14 00:52:00+03;94;Работает
499;2020-07-14 02:26:00+03;7;Холостой ход
499;2020-07-14 02:33:00+03;12;Работает
499;2020-07-14 02:45:00+03;9;Холостой ход
499;2020-07-14 02:54:00+03;64;Работает
499;2020-07-14 03:58:00+03;23;Отключено
499;2020-07-14 04:21:00+03;8;Холостой ход
499;2020-07-14 04:29:00+03;40;Работает
499;2020-07-14 05:09:00+03;10;Холостой ход
499;2020-07-14 05:19:00+03;36;Работает
499;2020-07-14 05:55:00+03;7;Холостой ход
499;2020-07-14 06:02:00+03;10;Работает
499;2020-07-14 06:12:00+03;5;Холостой ход
499;2020-07-14 06:17:00+03;29;Работает
499;2020-07-14 06:46:00+03;5;Холостой ход
499;2020-07-14 06:51:00+03;48;Работает
499;2020-07-14 08:52:00+03;158;Работает
499;2020-07-14 11:30:00+03;28;Холостой ход
499;2020-07-14 11:58:00+03;242;Работает
499;2020-07-14 16:00:00+03;28;Холостой ход
499;2020-07-14 16:28:00+03;162;Работает
499;2020-07-14 19:10:00+03;7;Нет данных
499;2020-07-14 19:17:00+03;20;Работает
499;2020-07-14 20:05:00+03;16;Работает
499;2020-07-14 20:21:00+03;68;Холостой ход
499;2020-07-14 21:29:00+03;8;Работает
499;2020-07-14 21:37:00+03;11;Холостой ход
499;2020-07-14 21:48:00+03;99;Работает
499;2020-07-14 23:27:00+03;29;Холостой ход
499;2020-07-15 01:00:00+03;8;Холостой ход
499;2020-07-15 01:08:00+03;84;Работает
499;2020-07-15 02:32:00+03;32;Холостой ход
499;2020-07-15 03:04:00+03;56;Работает
499;2020-07-15 04:00:00+03;30;Холостой ход
499;2020-07-15 04:30:00+03;113;Работает
499;2020-07-15 06:23:00+03;11;Холостой ход
499;2020-07-15 06:34:00+03;62;Работает
499;2020-07-15 08:03:00+03;190;Работает
499;2020-07-15 11:13:00+03;8;Холостой ход
499;2020-07-15 11:21:00+03;9;Работает
499;2020-07-15 11:30:00+03;29;Холостой ход
499;2020-07-15 11:59:00+03;164;Работает
499;2020-07-15 14:43:00+03;16;Холостой ход
499;2020-07-15 14:59:00+03;61;Работает
499;2020-07-15 16:00:00+03;68;Холостой ход
499;2020-07-15 17:08:00+03;20;Работает
499;2020-07-15 17:28:00+03;8;Холостой ход
499;2020-07-15 17:36:00+03;5;Работает
499;2020-07-15 17:41:00+03;32;Холостой ход
499;2020-07-15 18:13:00+03;85;Работает
499;2020-07-15 20:06:00+03;38;Работает
499;2020-07-15 20:44:00+03;6;Холостой ход
499;2020-07-15 20:50:00+03;161;Работает
499;2020-07-15 23:31:00+03;27;Холостой ход
499;2020-07-16 00:30:00+03;11;Холостой ход
499;2020-07-16 00:41:00+03;199;Работает
499;2020-07-16 04:00:00+03;28;Холостой ход
499;2020-07-16 04:28:00+03;38;Работает
499;2020-07-16 05:06:00+03;18;Холостой ход
499;2020-07-16 05:24:00+03;142;Работает
499;2020-07-16 07:46:00+03;7;Холостой ход
499;2020-07-16 08:06:00+03;1;Холостой ход
499;2020-07-16 08:07:00+03;200;Отключено
499;2020-07-16 11:27:00+03;1;Холостой ход
499;2020-07-16 11:28:00+03;51;Отключено
499;2020-07-16 12:19:00+03;24;Холостой ход
499;2020-07-16 12:43:00+03;140;Отключено
499;2020-07-16 15:03:00+03;8;Нет данных
499;2020-07-16 15:11:00+03;103;Отключено
499;2020-07-16 16:54:00+03;5;Холостой ход
499;2020-07-16 18:39:00+03;9;Холостой ход
499;2020-07-16 18:48:00+03;11;Работает
499;2020-07-16 18:59:00+03;8;Холостой ход
499;2020-07-16 19:07:00+03;29;Работает
499;2020-07-16 20:14:00+03;6;Холостой ход
499;2020-07-16 20:20:00+03;191;Работает
499;2020-07-16 23:31:00+03;27;Холостой ход
499;2020-07-17 01:35:00+03;10;Холостой ход
499;2020-07-17 01:45:00+03;57;Работает
499;2020-07-17 02:42:00+03;8;Холостой ход
499;2020-07-17 02:50:00+03;12;Работает
499;2020-07-17 03:02:00+03;8;Холостой ход
499;2020-07-17 03:10:00+03;51;Работает
499;2020-07-17 04:01:00+03;28;Холостой ход
499;2020-07-17 04:29:00+03;17;Работает
499;2020-07-17 04:46:00+03;7;Холостой ход
499;2020-07-17 04:53:00+03;165;Работает
499;2020-07-17 08:03:00+03;32;Работает
499;2020-07-17 08:35:00+03;7;Холостой ход
499;2020-07-17 08:42:00+03;169;Работает
499;2020-07-17 11:31:00+03;27;Холостой ход
499;2020-07-17 11:58:00+03;85;Работает
499;2020-07-17 13:23:00+03;11;Холостой ход
499;2020-07-17 13:34:00+03;11;Работает
499;2020-07-17 13:45:00+03;6;Холостой ход
499;2020-07-17 13:51:00+03;121;Работает
499;2020-07-17 15:52:00+03;7;Нет данных
499;2020-07-17 15:59:00+03;2;Работает
499;2020-07-17 16:01:00+03;26;Холостой ход
499;2020-07-17 16:27:00+03;28;Работает
499;2020-07-17 16:55:00+03;13;Холостой ход
499;2020-07-17 17:08:00+03;23;Работает
499;2020-07-17 17:31:00+03;12;Холостой ход
499;2020-07-17 17:43:00+03;3;Работает
499;2020-07-17 17:46:00+03;8;Холостой ход
499;2020-07-17 17:54:00+03;5;Работает
499;2020-07-17 17:59:00+03;6;Холостой ход
499;2020-07-17 18:05:00+03;21;Работает
499;2020-07-17 18:26:00+03;8;Холостой ход
499;2020-07-17 18:34:00+03;63;Работает
499;2020-07-17 20:03:00+03;39;Работает
499;2020-07-17 20:42:00+03;6;Холостой ход
499;2020-07-17 20:48:00+03;13;Работает
499;2020-07-17 21:01:00+03;8;Холостой ход
499;2020-07-17 21:09:00+03;124;Работает
499;2020-07-17 23:13:00+03;18;Отключено
499;2020-07-17 23:31:00+03;15;Холостой ход
499;2020-07-18 00:11:00+03;7;Холостой ход
499;2020-07-18 00:18:00+03;6;Работает
499;2020-07-18 00:24:00+03;6;Холостой ход
499;2020-07-18 00:30:00+03;159;Работает
499;2020-07-18 03:09:00+03;20;Отключено
499;2020-07-18 03:29:00+03;6;Холостой ход
499;2020-07-18 03:35:00+03;13;Отключено
499;2020-07-18 03:48:00+03;4;Холостой ход
499;2020-07-18 03:52:00+03;52;Отключено
499;2020-07-18 04:44:00+03;11;Холостой ход
499;2020-07-18 04:55:00+03;67;Работает
499;2020-07-18 06:02:00+03;8;Холостой ход
499;2020-07-18 06:10:00+03;42;Работает
499;2020-07-18 06:52:00+03;7;Холостой ход
499;2020-07-18 06:59:00+03;41;Работает
499;2020-07-18 08:03:00+03;208;Работает
499;2020-07-18 11:31:00+03;25;Холостой ход
499;2020-07-18 11:56:00+03;244;Работает
499;2020-07-18 16:00:00+03;26;Холостой ход
499;2020-07-18 16:26:00+03;185;Работает
499;2020-07-18 20:06:00+03;137;Работает
499;2020-07-18 22:23:00+03;18;Холостой ход
499;2020-07-18 22:41:00+03;6;Работает
499;2020-07-18 22:47:00+03;6;Холостой ход
499;2020-07-18 22:53:00+03;38;Работает
499;2020-07-19 00:01:00+03;16;Работает
499;2020-07-19 00:17:00+03;8;Холостой ход
499;2020-07-19 00:25:00+03;216;Работает
499;2020-07-19 04:01:00+03;29;Холостой ход
499;2020-07-19 04:30:00+03;92;Работает
499;2020-07-19 06:02:00+03;7;Холостой ход
499;2020-07-19 06:09:00+03;58;Работает
499;2020-07-19 07:07:00+03;15;Холостой ход
499;2020-07-19 07:22:00+03;16;Работает
499;2020-07-19 08:06:00+03;206;Работает
499;2020-07-19 11:32:00+03;28;Холостой ход
499;2020-07-19 12:00:00+03;33;Работает
499;2020-07-19 12:33:00+03;11;Холостой ход
499;2020-07-19 12:44:00+03;196;Работает
499;2020-07-19 16:00:00+03;30;Холостой ход
499;2020-07-19 16:30:00+03;188;Работает
499;2020-07-19 20:03:00+03;32;Работает
499;2020-07-19 20:35:00+03;5;Холостой ход
499;2020-07-19 20:40:00+03;172;Работает
499;2020-07-20 00:01:00+03;105;Работает
499;2020-07-20 01:46:00+03;8;Холостой ход
499;2020-07-20 01:54:00+03;56;Работает
499;2020-07-20 02:50:00+03;13;Холостой ход
499;2020-07-20 03:03:00+03;59;Работает
499;2020-07-20 04:02:00+03;25;Холостой ход
499;2020-07-20 04:27:00+03;100;Работает
499;2020-07-20 06:07:00+03;14;Холостой ход
499;2020-07-20 06:21:00+03;5;Работает
499;2020-07-20 06:26:00+03;5;Холостой ход
499;2020-07-20 06:31:00+03;67;Работает
499;2020-07-20 08:04:00+03;190;Работает
499;2020-07-20 11:14:00+03;27;Отключено
499;2020-07-20 11:41:00+03;6;Холостой ход
499;2020-07-20 11:47:00+03;11;Отключено
499;2020-07-20 11:58:00+03;31;Холостой ход
499;2020-07-20 12:29:00+03;208;Работает
499;2020-07-20 15:57:00+03;30;Отключено
499;2020-07-20 16:27:00+03;8;Холостой ход
499;2020-07-20 16:35:00+03;185;Работает
499;2020-07-20 20:05:00+03;17;Работает
499;2020-07-20 20:22:00+03;15;Холостой ход
499;2020-07-20 20:37:00+03;173;Работает
499;2020-07-20 23:30:00+03;30;Холостой ход
499;2020-07-21 00:00:00+03;160;Работает
499;2020-07-21 02:40:00+03;9;Холостой ход
499;2020-07-21 02:49:00+03;71;Работает
499;2020-07-21 04:00:00+03;30;Холостой ход
499;2020-07-21 04:30:00+03;149;Работает
499;2020-07-21 06:59:00+03;6;Холостой ход
499;2020-07-21 07:05:00+03;34;Работает
499;2020-07-21 08:07:00+03;14;Работает
499;2020-07-21 08:21:00+03;8;Холостой ход
499;2020-07-21 08:29:00+03;141;Работает
499;2020-07-21 10:50:00+03;7;Холостой ход
499;2020-07-21 10:57:00+03;33;Работает
499;2020-07-21 11:30:00+03;29;Холостой ход
499;2020-07-21 11:59:00+03;43;Работает
499;2020-07-21 12:42:00+03;31;Холостой ход
499;2020-07-21 13:13:00+03;168;Работает
499;2020-07-21 16:01:00+03;28;Холостой ход
499;2020-07-21 16:29:00+03;79;Работает
499;2020-07-21 17:48:00+03;7;Холостой ход
499;2020-07-21 17:55:00+03;101;Работает
499;2020-07-21 20:02:00+03;32;Работает
499;2020-07-21 20:34:00+03;8;Холостой ход
499;2020-07-21 20:42:00+03;151;Работает
499;2020-07-21 23:13:00+03;32;Отключено
499;2020-07-21 23:45:00+03;1;Холостой ход
499;2020-07-22 01:10:00+03;5;Холостой ход
499;2020-07-22 01:15:00+03;34;Работает
499;2020-07-22 01:49:00+03;5;Холостой ход
499;2020-07-22 01:54:00+03;123;Работает
499;2020-07-22 03:57:00+03;15;Отключено
499;2020-07-22 04:12:00+03;7;Холостой ход
499;2020-07-22 04:19:00+03;10;Отключено
499;2020-07-22 04:29:00+03;10;Работает
499;2020-07-22 04:39:00+03;18;Холостой ход
499;2020-07-22 04:57:00+03;79;Работает
499;2020-07-22 06:16:00+03;13;Холостой ход
499;2020-07-22 06:29:00+03;28;Работает
499;2020-07-22 06:57:00+03;5;Холостой ход
499;2020-07-22 07:02:00+03;26;Работает
499;2020-07-22 08:13:00+03;200;Работает
499;2020-07-22 11:33:00+03;22;Холостой ход
499;2020-07-22 11:55:00+03;122;Работает
499;2020-07-22 13:57:00+03;22;Холостой ход
499;2020-07-22 14:19:00+03;37;Работает
499;2020-07-22 14:56:00+03;6;Холостой ход
499;2020-07-22 15:02:00+03;18;Работает
499;2020-07-22 15:20:00+03;8;Холостой ход
499;2020-07-22 15:28:00+03;7;Работает
499;2020-07-22 15:35:00+03;6;Холостой ход
499;2020-07-22 15:41:00+03;13;Работает
499;2020-07-22 15:54:00+03;34;Холостой ход
499;2020-07-22 16:28:00+03;149;Работает
499;2020-07-22 18:57:00+03;27;Холостой ход
499;2020-07-22 19:24:00+03;10;Работает
499;2020-07-22 20:06:00+03;176;Работает
499;2020-07-22 23:02:00+03;7;Холостой ход
499;2020-07-22 23:09:00+03;21;Работает
499;2020-07-22 23:30:00+03;30;Холостой ход
499;2020-07-23 00:00:00+03;12;Работает
499;2020-07-23 00:12:00+03;9;Холостой ход
499;2020-07-23 00:21:00+03;25;Работает
499;2020-07-23 00:46:00+03;32;Холостой ход
499;2020-07-23 01:18:00+03;153;Работает
499;2020-07-23 03:51:00+03;38;Холостой ход
499;2020-07-23 04:29:00+03;186;Работает
499;2020-07-23 08:03:00+03;182;Работает
499;2020-07-23 11:05:00+03;6;Холостой ход
499;2020-07-23 11:11:00+03;20;Работает
499;2020-07-23 11:31:00+03;29;Холостой ход
499;2020-07-23 12:00:00+03;7;Работает
499;2020-07-23 12:07:00+03;5;Холостой ход
499;2020-07-23 12:12:00+03;77;Работает
499;2020-07-23 13:29:00+03;10;Холостой ход
499;2020-07-23 13:39:00+03;21;Работает
499;2020-07-23 14:00:00+03;9;Холостой ход
499;2020-07-23 14:09:00+03;27;Работает
499;2020-07-23 14:36:00+03;15;Холостой ход
499;2020-07-23 14:51:00+03;48;Работает
499;2020-07-23 15:39:00+03;5;Холостой ход
499;2020-07-23 15:44:00+03;17;Работает
499;2020-07-23 16:01:00+03;29;Холостой ход
499;2020-07-23 16:30:00+03;88;Работает
499;2020-07-23 17:58:00+03;5;Холостой ход
499;2020-07-23 18:03:00+03;95;Работает
499;2020-07-23 20:04:00+03;60;Работает
499;2020-07-23 21:04:00+03;9;Холостой ход
499;2020-07-23 21:13:00+03;8;Работает
499;2020-07-23 21:21:00+03;13;Холостой ход
499;2020-07-23 21:34:00+03;37;Работает
499;2020-07-23 22:11:00+03;8;Холостой ход
499;2020-07-23 22:19:00+03;44;Работает
499;2020-07-23 23:03:00+03;6;Холостой ход
499;2020-07-23 23:09:00+03;24;Работает
499;2020-07-23 23:33:00+03;24;Холостой ход
499;2020-07-24 02:15:00+03;6;Холостой ход
